symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,marketcap
DOCU,DocuSign Inc,Technology,Technology,"San Francisco, CALIFORNIA",2020-06-22,1261333.0,2018-04-27,41410171310
ZM,Zoom Video Communications Inc,Communication Services,Communication Services,"San Jose, CALIFORNIA",2020-04-30,1585521.0,2019-04-18,96731331906
DXCM,DexCom Inc,Healthcare,Healthcare,"San Diego, CALIFORNIA",2020-04-20,1093557.0,2005-04-14,37257578000
SPLK,Splunk Inc,Technology,Technology,"San Francisco, CALIFORNIA",2019-12-23,1353283.0,2012-04-19,21343065660
SGEN,Seattle Genetics Inc,Healthcare,Healthcare,"Bothell, WASHINGTON",2019-12-23,1060736.0,2001-03-07,25254829600
CDW,CDW Corp,Technology,Technology,"Vernon Hills, ILLINOIS",2019-12-23,1402057.0,2013-06-27,26225374000
INTC,Intel Corp,Technology,Technology,"Santa Clara, CALIFORNIA",1997-12-02,50863.0,1971-10-13,258261300000
XEL,Xcel Energy Inc,Utilities,Utilities,"Minneapolis, MINNESOTA",2018-11-19,72903.0,1949-02-28,37778400000
GILD,Gilead Sciences Inc,Healthcare,Healthcare,"Foster City, CALIFORNIA",2001-10-04,882095.0,1992-01-01,83306900000
CHTR,Charter Communications Inc,Communication Services,Communication Services,"Stamford, CONNECTICUT",2001-12-24,1091667.0,2009-12-02,138372357725
ASML,ASML Holding N.V.,Technology,Technology,,2017-12-18,,,259176494000
FISV,Fiserv Inc,Technology,Technology,"Brookfield, WISCONSIN",1997-12-02,798354.0,1986-09-25,84850272000
AMAT,Applied Materials Inc,Technology,Technology,"Santa Clara, CALIFORNIA",1997-12-02,6951.0,1972-10-05,118945750000
MXIM,Maxim Integrated Products Inc,Technology,Technology,"San Jose, CALIFORNIA",1997-12-02,743316.0,1994-01-01,24952994820
MU,Micron Technology Inc,Technology,Technology,"Boise, IDAHO",2010-12-20,723125.0,1984-06-01,98939880000
CTSH,Cognizant Technology Solutions Corp,Technology,Technology,"Teaneck, NEW JERSEY",2004-12-29,1058290.0,1998-06-24,43148620000
PCAR,Paccar Inc,Industrials,Industrials,"Bellevue, WASHINGTON",1997-12-02,75362.0,1980-03-17,32050799999
PYPL,PayPal Holdings Inc,Financial Services,Financial Services,"San Jose, CALIFORNIA",2015-11-11,1633917.0,2015-07-06,314671700000
INCY,Incyte Corp,Healthcare,Healthcare,"Wilmington, DELAWARE",2015-10-07,879169.0,1991-04-08,18502562880
JD,JD.com Inc.,Consumer Cyclical,Consumer Cyclical,,2015-07-30,1549802.0,,119462871150
WBA,Walgreens Boots Alliance Inc,Healthcare,Healthcare,"Deerfield, ILLINOIS",2015-03-23,1618921.0,2014-12-31,46155102000
COST,Costco Wholesale Corp,Consumer Defensive,Consumer Defensive,"Issaquah, WASHINGTON",1997-12-02,909832.0,1985-12-05,165231754620
GOOG,Alphabet Inc.,Communication Services,Communication Services,"Mountain View, CA",2014-04-03,1652044.0,,1566478187470
NXPI,NXP Semiconductors NV,Technology,Technology,"Eindhoven, NOORD-BRABANT",2013-12-23,1413447.0,2010-08-06,55300115880
TSLA,Tesla Inc,Consumer Cyclical,Consumer Cyclical,"Palo Alto, CALIFORNIA",2013-07-15,1318605.0,2010-06-29,778666170000
REGN,Regeneron Pharmaceuticals Inc,Healthcare,Healthcare,"Tarrytown, NEW YORK",2012-12-24,872589.0,1991-01-01,56595924000
